"well_ID","time_min","treatment","enzyme","absorbance","substrate"
"C1",4.5,"A_H2O2","MnP",0.6523,"MBTH/DMAB"
"C2",4.5,"B_H2O2","MnP",0.064,"MBTH/DMAB"
"C3",4.5,"A","MnP",0.0817,"MBTH/DMAB"
"C4",4.5,"B","MnP",0.0609,"MBTH/DMAB"
"C5",4.5,"A_H2O2","HoP",0.3893,"MBTH/DMAB"
"C6",4.5,"B_H2O2","HoP",0.4165,"MBTH/DMAB"
"C7",4.5,"A","HoP",0.0772,"MBTH/DMAB"
"C8",4.5,"B","HoP",0.0788,"MBTH/DMAB"
"D1",4.5,"A_H2O2","MnP",0.5726,"MBTH/DMAB"
"D2",4.5,"B_H2O2","MnP",0.0641,"MBTH/DMAB"
"D3",4.5,"A","MnP",0.083,"MBTH/DMAB"
"D4",4.5,"B","MnP",0.0616,"MBTH/DMAB"
"D5",4.5,"A_H2O2","HoP",0.3937,"MBTH/DMAB"
"D6",4.5,"B_H2O2","HoP",0.3944,"MBTH/DMAB"
"D7",4.5,"A","HoP",0.0774,"MBTH/DMAB"
"D8",4.5,"B","HoP",0.0799,"MBTH/DMAB"
"A1",5,"A_H2O2","MnP",0.5739,"MBTH/DMAB"
"A2",5,"B_H2O2","MnP",0.0595,"MBTH/DMAB"
"A3",5,"A","MnP",0.0831,"MBTH/DMAB"
"A4",5,"B","MnP",0.0593,"MBTH/DMAB"
"A5",5,"A_H2O2","HoP",0.4325,"MBTH/DMAB"
"A6",5,"B_H2O2","HoP",0.4281,"MBTH/DMAB"
"A7",5,"A","HoP",0.0783,"MBTH/DMAB"
"A8",5,"B","HoP",0.0788,"MBTH/DMAB"
"B1",5,"A_H2O2","MnP",0.6901,"MBTH/DMAB"
"B2",5,"B_H2O2","MnP",0.0645,"MBTH/DMAB"
"B3",5,"A","MnP",0.0829,"MBTH/DMAB"
"B4",5,"B","MnP",0.0611,"MBTH/DMAB"
"B5",5,"A_H2O2","HoP",0.4295,"MBTH/DMAB"
"B6",5,"B_H2O2","HoP",0.4053,"MBTH/DMAB"
"B7",5,"A","HoP",0.0788,"MBTH/DMAB"
"B8",5,"B","HoP",0.0798,"MBTH/DMAB"
"C1",5,"A_H2O2","MnP",0.6232,"MBTH/DMAB"
"C2",5,"B_H2O2","MnP",0.065,"MBTH/DMAB"
"C3",5,"A","MnP",0.0821,"MBTH/DMAB"
"C4",5,"B","MnP",0.0625,"MBTH/DMAB"
"C5",5,"A_H2O2","HoP",0.4191,"MBTH/DMAB"
"C6",5,"B_H2O2","HoP",0.4483,"MBTH/DMAB"
"C7",5,"A","HoP",0.0787,"MBTH/DMAB"
"C8",5,"B","HoP",0.0806,"MBTH/DMAB"
"D1",5,"A_H2O2","MnP",0.5664,"MBTH/DMAB"
"D2",5,"B_H2O2","MnP",0.0641,"MBTH/DMAB"
"D3",5,"A","MnP",0.084,"MBTH/DMAB"
"D4",5,"B","MnP",0.0626,"MBTH/DMAB"
"D5",5,"A_H2O2","HoP",0.4205,"MBTH/DMAB"
"D6",5,"B_H2O2","HoP",0.4245,"MBTH/DMAB"
"D7",5,"A","HoP",0.0788,"MBTH/DMAB"
"D8",5,"B","HoP",0.0809,"MBTH/DMAB"
"A1",5.5,"A_H2O2","MnP",0.6083,"MBTH/DMAB"
"A2",5.5,"B_H2O2","MnP",0.0601,"MBTH/DMAB"
"A3",5.5,"A","MnP",0.0842,"MBTH/DMAB"
"A4",5.5,"B","MnP",0.06,"MBTH/DMAB"
"A5",5.5,"A_H2O2","HoP",0.4612,"MBTH/DMAB"
"A6",5.5,"B_H2O2","HoP",0.4599,"MBTH/DMAB"
